strategy,side,axis,parent,group,entry,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,parent_baseline_trades,parent_trade_ratio,name,quality_tag,dev_long,dev_short,rsi_long_max,rsi_short_min,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_max,vol_min,body_min,close_pos_long_min,close_pos_short_max,wick_min,ret3_floor,ret5_floor,ret10_floor,ret20_floor,ret3_ceil,ret5_ceil,ret10_ceil,ret20_ceil,trend_required,reclaim_required,anchor_required,breakout_bonus,absorb_bonus,be_r,trail_r,trail_atr,fail_bars,fail_pnl,post_loss_after,post_loss_bars,sym_dd_pct,sym_dd_bars,shock_lb,shock_ret5,shock_range,shock_close_pos
8V15_long_main_011_base_keep,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_011_base_keep,base_keep,0.0,0.0,46.0,0.0,1.18,1.98,12,20,0.0036000000000000003,0.06,0.19799999999999998,1.12,0.155,0.5950000000000001,1.0,0.8700000000000001,-0.041999999999999996,-0.072,-0.052000000000000005,-0.08,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.72,1.26,1.24,5,-0.52,2,16,0.15,18,9,-0.056,0.09599999999999999,0.24
8V15_long_main_012_extremeclose,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_012_extremeclose,extremeclose,0.0,0.0,48.0,0.0,1.24,1.98,14,23,0.004,0.06,0.19799999999999998,1.12,0.155,0.5950000000000001,1.0,0.9500000000000001,-0.048,-0.072,-0.052000000000000005,-0.08,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.7999999999999999,1.26,1.24,6,-0.52,2,16,0.15,18,10,-0.056,0.09599999999999999,0.24
8V15_long_main_013_lowanchor,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_013_lowanchor,lowanchor,0.0,0.0,42.0,0.0,1.2999999999999998,1.98,16,8,0.0032,0.06,0.19799999999999998,1.12,0.19,0.5950000000000001,1.0,0.55,-0.03,-0.078,-0.052000000000000005,-0.09000000000000001,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.88,1.26,1.24,7,-0.62,2,20,0.17,18,5,-0.062,0.09599999999999999,0.24
8V15_long_main_014_soft_rare22,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_014_soft_rare22,soft_rare22,0.0,0.0,44.0,0.0,1.3599999999999999,1.98,18,11,0.0036000000000000003,0.06,0.19799999999999998,1.12,0.19,0.5950000000000001,1.0,0.63,-0.036,-0.078,-0.052000000000000005,-0.09000000000000001,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.96,1.26,1.24,8,-0.62,2,20,0.17,18,6,-0.062,0.09599999999999999,0.24
8V15_long_main_015_mdd_brake,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_015_mdd_brake,mdd_brake,0.0,0.0,46.0,0.0,1.42,1.98,20,14,0.004,0.06,0.19799999999999998,1.12,0.19,0.6300000000000001,1.0,0.7100000000000001,-0.041999999999999996,-0.078,-0.052000000000000005,-0.09000000000000001,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,1.04,1.26,1.24,9,-0.62,3,20,0.17,18,7,-0.062,0.09599999999999999,0.24
8V15_long_main_016_wick_quality,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_016_wick_quality,wick_quality,0.0,0.0,48.0,0.0,1.18,2.08,12,17,0.0032,0.06,0.19799999999999998,1.17,0.19,0.6300000000000001,1.0,0.79,-0.048,-0.078,-0.058,-0.09000000000000001,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.72,1.36,1.24,5,-0.62,2,20,0.17,18,8,-0.062,0.09599999999999999,0.24
8V15_long_main_017_ema_reclaim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_017_ema_reclaim,ema_reclaim,0.0,0.0,42.0,0.0,1.24,2.08,14,20,0.0036000000000000003,0.06,0.186,1.17,0.19,0.6300000000000001,1.0,0.8700000000000001,-0.03,-0.06,-0.058,-0.09000000000000001,1.0,1.0,1.0,1.0,True,True,False,0.0,0.0,0.7999999999999999,1.36,1.3299999999999998,6,-0.62,2,24,0.17,22,9,-0.062,0.09599999999999999,0.24
8V15_long_main_018_vol_confirm,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_018_vol_confirm,vol_confirm,0.0,0.0,44.0,0.0,1.2999999999999998,2.08,16,23,0.004,0.06,0.186,1.17,0.19,0.6300000000000001,1.0,0.9500000000000001,-0.036,-0.06,-0.058,-0.09000000000000001,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.88,1.36,1.3299999999999998,7,-0.62,2,24,0.17,22,10,-0.062,0.09599999999999999,0.24
8V15_long_main_019_thin_trail,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_019_thin_trail,thin_trail,0.0,0.0,46.0,0.0,1.3599999999999999,2.08,18,8,0.0032,0.06,0.186,1.17,0.225,0.6300000000000001,1.0,0.55,-0.041999999999999996,-0.06,-0.058,-0.1,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,0.96,1.36,1.3299999999999998,8,-0.72,2,24,0.19,22,5,-0.068,0.09599999999999999,0.24
8V15_long_main_020_hold_trim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_020_hold_trim,hold_trim,0.0,0.0,48.0,0.0,1.42,2.08,20,11,0.0036000000000000003,0.06,0.186,1.17,0.225,0.6300000000000001,1.0,0.63,-0.048,-0.06,-0.058,-0.1,1.0,1.0,1.0,1.0,True,False,False,0.0,0.0,1.04,1.36,1.3299999999999998,9,-0.72,3,24,0.19,22,6,-0.068,0.09599999999999999,0.24
8V15_long_main_021_base_keep,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_021_base_keep,base_keep,0.0,0.0,42.0,0.0,1.18,2.18,12,14,0.004,0.056,0.186,1.22,0.225,0.6300000000000001,1.0,0.7100000000000001,-0.03,-0.066,-0.064,-0.1,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.72,1.46,1.3299999999999998,5,-0.72,2,28,0.19,22,7,-0.068,0.106,0.24
8V15_long_main_022_extremeclose,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_022_extremeclose,extremeclose,0.0,0.0,44.0,0.0,1.24,2.18,14,17,0.0032,0.056,0.186,1.22,0.225,0.665,1.0,0.79,-0.036,-0.066,-0.064,-0.1,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.7999999999999999,1.46,1.3299999999999998,6,-0.72,2,28,0.19,22,8,-0.068,0.106,0.24
8V15_long_main_023_lowanchor,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_023_lowanchor,lowanchor,0.0,0.0,46.0,0.0,1.2999999999999998,2.18,16,20,0.0036000000000000003,0.056,0.186,1.22,0.225,0.665,1.0,0.8700000000000001,-0.041999999999999996,-0.066,-0.064,-0.1,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.88,1.46,1.3299999999999998,7,-0.72,2,28,0.19,22,9,-0.068,0.106,0.24
8V15_long_main_024_soft_rare22,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_024_soft_rare22,soft_rare22,0.0,0.0,48.0,0.0,1.3599999999999999,2.18,18,23,0.004,0.056,0.186,1.22,0.225,0.665,1.0,0.9500000000000001,-0.048,-0.066,-0.064,-0.1,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.96,1.46,1.3299999999999998,8,-0.72,2,28,0.19,22,10,-0.068,0.106,0.24
8V15_long_main_025_mdd_brake,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_025_mdd_brake,mdd_brake,0.0,0.0,42.0,0.0,1.42,2.18,20,8,0.0032,0.056,0.174,1.22,0.12,0.665,1.0,0.55,-0.03,-0.072,-0.064,-0.11000000000000001,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,1.04,1.46,1.42,9,-0.8200000000000001,3,8,0.21000000000000002,26,5,-0.07400000000000001,0.106,0.24
8V15_long_main_026_wick_quality,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_026_wick_quality,wick_quality,0.0,0.0,44.0,0.0,1.18,1.78,12,11,0.0036000000000000003,0.056,0.174,1.02,0.12,0.665,1.0,0.63,-0.036,-0.072,-0.04,-0.11000000000000001,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.72,1.06,1.42,5,-0.8200000000000001,2,8,0.21000000000000002,26,6,-0.07400000000000001,0.106,0.24
8V15_long_main_027_ema_reclaim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_027_ema_reclaim,ema_reclaim,0.0,0.0,46.0,0.0,1.24,1.78,14,14,0.004,0.056,0.174,1.02,0.12,0.665,1.0,0.7100000000000001,-0.041999999999999996,-0.072,-0.04,-0.11000000000000001,1.0,1.0,1.0,1.0,True,True,False,0.0,0.0,0.7999999999999999,1.06,1.42,6,-0.8200000000000001,2,8,0.21000000000000002,26,7,-0.07400000000000001,0.106,0.24
8V15_long_main_028_vol_confirm,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_028_vol_confirm,vol_confirm,0.0,0.0,48.0,0.0,1.2999999999999998,1.78,16,17,0.0032,0.056,0.174,1.02,0.12,0.665,1.0,0.79,-0.048,-0.072,-0.04,-0.11000000000000001,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.88,1.06,1.42,7,-0.8200000000000001,2,8,0.21000000000000002,26,8,-0.07400000000000001,0.106,0.24
8V15_long_main_029_thin_trail,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_029_thin_trail,thin_trail,0.0,0.0,42.0,0.0,1.3599999999999999,1.78,18,20,0.0036000000000000003,0.056,0.174,1.02,0.12,0.7000000000000001,1.0,0.8700000000000001,-0.03,-0.078,-0.04,-0.11000000000000001,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,0.96,1.06,1.42,8,-0.8200000000000001,2,12,0.21000000000000002,26,9,-0.07400000000000001,0.106,0.24
8V15_long_main_030_hold_trim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_030_hold_trim,hold_trim,0.0,0.0,44.0,0.0,1.42,1.78,20,23,0.004,0.056,0.174,1.02,0.12,0.7000000000000001,1.0,0.9500000000000001,-0.036,-0.078,-0.04,-0.11000000000000001,1.0,1.0,1.0,1.0,True,False,False,0.0,0.0,1.04,1.06,1.42,9,-0.8200000000000001,3,12,0.21000000000000002,26,10,-0.07400000000000001,0.106,0.24
8V15_long_main_031_base_keep,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_031_base_keep,base_keep,0.0,0.0,46.0,0.0,1.18,1.8800000000000001,12,8,0.0032,0.064,0.174,1.07,0.155,0.7000000000000001,1.0,0.55,-0.041999999999999996,-0.078,-0.046,-0.07,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.72,1.1600000000000001,1.42,5,-0.42,2,12,0.13,26,5,-0.05,0.11599999999999999,0.24
8V15_long_main_032_extremeclose,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_032_extremeclose,extremeclose,0.0,0.0,48.0,0.0,1.24,1.8800000000000001,14,11,0.0036000000000000003,0.064,0.174,1.07,0.155,0.7000000000000001,1.0,0.63,-0.048,-0.078,-0.046,-0.07,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.7999999999999999,1.1600000000000001,1.42,6,-0.42,2,12,0.13,26,6,-0.05,0.11599999999999999,0.24
8V15_long_main_033_lowanchor,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_033_lowanchor,lowanchor,0.0,0.0,42.0,0.0,1.2999999999999998,1.8800000000000001,16,14,0.004,0.064,0.21,1.07,0.155,0.7000000000000001,1.0,0.7100000000000001,-0.03,-0.06,-0.046,-0.07,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.88,1.1600000000000001,1.5099999999999998,7,-0.42,2,16,0.13,30,7,-0.05,0.11599999999999999,0.24
8V15_long_main_034_soft_rare22,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_034_soft_rare22,soft_rare22,0.0,0.0,44.0,0.0,1.3599999999999999,1.8800000000000001,18,17,0.0032,0.064,0.21,1.07,0.155,0.7000000000000001,1.0,0.79,-0.036,-0.06,-0.046,-0.07,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.96,1.1600000000000001,1.5099999999999998,8,-0.42,2,16,0.13,30,8,-0.05,0.11599999999999999,0.24
8V15_long_main_035_mdd_brake,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_035_mdd_brake,mdd_brake,0.0,0.0,46.0,0.0,1.42,1.8800000000000001,20,20,0.0036000000000000003,0.064,0.21,1.07,0.155,0.7000000000000001,1.0,0.8700000000000001,-0.041999999999999996,-0.06,-0.046,-0.07,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,1.04,1.1600000000000001,1.5099999999999998,9,-0.42,3,16,0.13,30,9,-0.05,0.11599999999999999,0.24
8V15_long_main_036_wick_quality,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_036_wick_quality,wick_quality,0.0,0.0,48.0,0.0,1.18,1.98,12,23,0.004,0.064,0.21,1.12,0.155,0.56,1.0,0.9500000000000001,-0.048,-0.06,-0.052000000000000005,-0.07,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.72,1.26,1.5099999999999998,5,-0.42,2,16,0.13,30,10,-0.05,0.11599999999999999,0.24
8V15_long_main_037_ema_reclaim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_037_ema_reclaim,ema_reclaim,0.0,0.0,42.0,0.0,1.24,1.98,14,8,0.0032,0.064,0.21,1.12,0.19,0.56,1.0,0.55,-0.03,-0.066,-0.052000000000000005,-0.08,1.0,1.0,1.0,1.0,True,True,False,0.0,0.0,0.7999999999999999,1.26,1.5099999999999998,6,-0.52,2,20,0.15,30,5,-0.056,0.11599999999999999,0.24
8V15_long_main_038_vol_confirm,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_038_vol_confirm,vol_confirm,0.0,0.0,44.0,0.0,1.2999999999999998,1.98,16,11,0.0036000000000000003,0.064,0.21,1.12,0.19,0.56,1.0,0.63,-0.036,-0.066,-0.052000000000000005,-0.08,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.88,1.26,1.5099999999999998,7,-0.52,2,20,0.15,30,6,-0.056,0.11599999999999999,0.24
8V15_long_main_039_thin_trail,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_039_thin_trail,thin_trail,0.0,0.0,46.0,0.0,1.3599999999999999,1.98,18,14,0.004,0.064,0.21,1.12,0.19,0.56,1.0,0.7100000000000001,-0.041999999999999996,-0.066,-0.052000000000000005,-0.08,1.0,1.0,1.0,1.0,False,False,False,0.0,0.0,0.96,1.26,1.5099999999999998,8,-0.52,2,20,0.15,30,7,-0.056,0.11599999999999999,0.24
8V15_long_main_040_hold_trim,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_040_hold_trim,hold_trim,0.0,0.0,48.0,0.0,1.42,1.98,20,17,0.0032,0.064,0.21,1.12,0.19,0.56,1.0,0.79,-0.048,-0.066,-0.052000000000000005,-0.08,1.0,1.0,1.0,1.0,True,False,False,0.0,0.0,1.04,1.26,1.5099999999999998,9,-0.52,3,20,0.15,30,8,-0.056,0.11599999999999999,0.24
8V15_long_main_041_base_keep,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_041_base_keep,base_keep,0.0,0.0,42.0,0.0,1.18,2.08,12,20,0.0036000000000000003,0.06,0.19799999999999998,1.17,0.19,0.56,1.0,0.8700000000000001,-0.03,-0.072,-0.058,-0.08,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.72,1.36,1.15,5,-0.52,2,24,0.15,34,9,-0.056,0.126,0.24
8V15_long_main_042_extremeclose,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_042_extremeclose,extremeclose,0.0,0.0,44.0,0.0,1.24,2.08,14,23,0.004,0.06,0.19799999999999998,1.17,0.19,0.56,1.0,0.9500000000000001,-0.036,-0.072,-0.058,-0.08,1.0,1.0,1.0,1.0,False,True,False,0.0,0.0,0.7999999999999999,1.36,1.15,6,-0.52,2,24,0.15,34,10,-0.056,0.126,0.24
8V15_long_main_043_lowanchor,long,long_main,6V2_L01_doubleflush_core,parent_preserve_lm_doubleflush,lm_parent_doubleflush_cap_reclaim,0,0,0,0.0,0.0,0.0,0.0,100.0,592,0.0,8V15_long_main_043_lowanchor,lowanchor,0.0,0.0,46.0,0.0,1.2999999999999998,2.08,16,8,0.0032,0.06,0.19799999999999998,1.17,0.225,0.5950000000000001,1.0,0.55,-0.041999999999999996,-0.072,-0.058,-0.09000000000000001,1.0,1.0,1.0,1.0,False,False,True,0.0,0.0,0.88,1.36,1.15,7,-0.62,2,24,0.17,34,5,-0.062,0.126,0.24
